"","medium","ID","gemeente","weight1","medium_gemeente","gebruik","freq","app","blendle","facebook","krant","nieuwsb","podcast","radio","replica","site","teltekst","tv","twitter","weetniet","youtube"
"29673","ad",99307,"rotterdam",1.04689921533174,"landelijk",1,5,0,0,0,0,0,0,NA,1,0,NA,NA,0,0,0
"29686","ad",99026,"rotterdam",1.00993859986337,"landelijk",1,6,1,0,0,1,0,0,NA,0,0,NA,NA,0,0,0
"29707","ad",77026,"langedijk",1.09813478656974,"landelijk",1,6,0,0,0,0,0,0,NA,1,0,NA,NA,0,0,0
"29735","ad",77167,"langedijk",1.09813478656974,"landelijk",1,7,1,0,0,1,0,0,NA,0,0,NA,NA,0,0,0
"29743","ad",99308,"rotterdam",0.958400055846518,"landelijk",1,6,1,0,0,1,0,0,NA,0,0,NA,NA,0,0,0
"29748","ad",66467,"bunschoten",1.88116939479177,"landelijk",1,4,0,0,1,0,0,0,NA,0,0,NA,NA,0,0,0
"29754","ad",77261,"langedijk",0.743045781576525,"landelijk",1,5,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"29784","ad",99168,"rotterdam",0.924563889565911,"landelijk",1,5,0,0,0,0,0,0,NA,1,0,NA,NA,0,0,0
"29805","ad",77168,"langedijk",0.743045781576525,"landelijk",1,5,0,0,0,1,0,0,NA,0,1,NA,NA,0,0,0
"29818","ad",66468,"bunschoten",1.15252784905798,"landelijk",1,7,0,0,0,1,0,0,NA,0,1,NA,NA,0,0,0
"29826","ad",99028,"rotterdam",1.00993859986337,"landelijk",1,6,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"29832","ad",99403,"rotterdam",1.02417055319339,"landelijk",1,5,0,0,0,0,0,0,NA,0,1,NA,NA,1,0,0
"29845","ad",66484,"bunschoten",0.658385254746918,"landelijk",1,6,0,0,1,1,0,0,NA,0,0,NA,NA,1,0,1
"29867","ad",88449,"amsterdam",1.04460325938323,"landelijk",1,3,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"29888","ad",66469,"bunschoten",0.65412002316781,"landelijk",1,4,0,0,0,1,0,0,NA,0,0,NA,NA,0,0,0
"29896","ad",99029,"rotterdam",0.924563889565911,"landelijk",1,5,0,0,0,1,0,0,NA,1,0,NA,NA,0,0,0
"29915","ad",66485,"bunschoten",0.65412002316781,"landelijk",1,2,1,0,0,0,0,0,NA,0,0,NA,NA,0,0,0
"29918","ad",66282,"bunschoten",0.65412002316781,"landelijk",1,6,0,0,1,1,1,0,NA,0,0,NA,NA,0,0,0
"29925","ad",11116,"almere",0.879361846186308,"landelijk",1,5,0,0,0,0,0,0,NA,1,0,NA,NA,0,0,0
"29937","ad",88450,"amsterdam",1.04460325938323,"landelijk",1,6,1,0,0,0,0,0,NA,0,0,NA,NA,0,0,0
"29958","ad",66470,"bunschoten",0.658385254746918,"landelijk",1,6,0,0,0,0,0,0,NA,1,0,NA,NA,0,0,0
"29966","ad",99030,"rotterdam",1.04689921533174,"landelijk",1,7,0,0,0,0,0,0,NA,1,0,NA,NA,0,0,0
"29972","ad",99405,"rotterdam",0.988012369639299,"landelijk",1,7,1,0,0,0,0,0,NA,0,0,NA,NA,0,0,0
"29973","ad",22245,"enschede",1.11056849418776,"landelijk",1,7,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"29994","ad",99171,"rotterdam",1.02417055319339,"landelijk",1,5,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"30061","ad",88030,"amsterdam",0.917381517197433,"landelijk",1,4,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"30063","ad",77406,"langedijk",1.49707465828579,"landelijk",1,6,1,0,0,0,0,0,NA,0,0,NA,NA,0,0,0
"30064","ad",99172,"rotterdam",0.924563889565911,"landelijk",1,6,1,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"30077","ad",88452,"amsterdam",1.09211804895821,"landelijk",1,5,0,0,1,0,0,0,NA,0,0,NA,NA,0,0,0
"30093","ad",99313,"rotterdam",1.04689921533174,"landelijk",1,6,0,0,0,1,0,0,NA,0,0,NA,NA,0,0,0
"30112","ad",99407,"rotterdam",0.988012369639299,"landelijk",1,3,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"30134","ad",99173,"rotterdam",0.958400055846518,"landelijk",1,6,0,0,0,0,0,0,NA,1,0,NA,NA,0,0,0
"30150","ad",88125,"amsterdam",1.04460325938323,"landelijk",1,5,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"30174","ad",77267,"langedijk",1.49707465828579,"landelijk",1,5,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"30176","ad",99033,"rotterdam",0.924563889565911,"landelijk",1,4,0,0,0,1,0,0,NA,0,0,NA,NA,0,0,0
"30182","ad",99408,"rotterdam",1.02417055319339,"landelijk",1,2,0,0,1,1,0,0,NA,0,1,NA,NA,0,0,0
"30243","ad",22202,"enschede",0.793392238324074,"landelijk",1,6,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"30246","ad",99034,"rotterdam",1.00993859986337,"landelijk",1,6,0,0,0,1,0,0,NA,1,0,NA,NA,0,0,0
"30252","ad",99409,"rotterdam",1.02417055319339,"landelijk",1,5,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"30268","ad",66287,"bunschoten",1.06766232946955,"landelijk",1,4,0,0,1,1,0,0,NA,0,0,NA,NA,1,0,0
"30274","ad",99175,"rotterdam",1.04689921533174,"landelijk",1,5,0,0,0,1,0,0,NA,1,1,NA,NA,0,0,0
"30275","ad",11121,"almere",0.940301805881723,"landelijk",1,5,0,0,0,1,0,0,NA,0,0,NA,NA,0,0,0
"30297","ad",11340,"almere",1.17104368139015,"landelijk",1,5,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"30308","ad",66475,"bunschoten",1.88116939479177,"landelijk",1,7,1,0,0,1,0,0,NA,1,0,NA,NA,0,0,0
"30316","ad",99035,"rotterdam",0.924563889565911,"landelijk",1,7,0,0,0,1,1,0,NA,1,0,NA,NA,0,0,0
"30319","ad",33012,"nijmegen",0.794532771832626,"landelijk",1,4,0,0,1,0,0,0,NA,0,1,NA,NA,0,0,0
"30338","ad",66288,"bunschoten",0.658385254746918,"landelijk",1,6,0,0,0,1,0,0,NA,1,0,NA,NA,0,0,0
"30344","ad",99176,"rotterdam",0.958400055846518,"landelijk",1,4,1,0,1,0,0,0,NA,0,0,NA,NA,0,0,0
"30357","ad",88456,"amsterdam",1.09211804895821,"landelijk",1,5,1,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"30360","ad",88128,"amsterdam",0.947416839487048,"landelijk",1,7,1,0,0,0,1,0,NA,0,0,NA,NA,0,0,0
"30392","ad",99411,"rotterdam",1.00993859986337,"landelijk",1,4,0,0,0,0,1,0,NA,0,0,NA,NA,0,0,0
"30405","ad",66492,"bunschoten",0.65412002316781,"landelijk",1,6,1,0,0,1,0,0,NA,1,1,NA,NA,0,0,0
"30408","ad",66289,"bunschoten",0.658385254746918,"landelijk",1,6,0,0,0,0,0,0,NA,0,0,NA,NA,0,1,0
"30414","ad",99177,"rotterdam",0.924563889565911,"landelijk",1,6,0,0,0,0,0,0,NA,1,0,NA,NA,0,0,0
"30415","ad",11123,"almere",0.940301805881723,"landelijk",1,2,0,0,1,1,0,0,NA,0,1,NA,NA,0,0,0
"30427","ad",88457,"amsterdam",0.906197566706999,"landelijk",1,3,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"30437","ad",11342,"almere",0.879361846186308,"landelijk",1,5,1,0,0,0,0,0,NA,0,0,NA,NA,0,0,0
"30442","ad",77552,"langedijk",1.49707465828579,"landelijk",1,7,0,0,0,1,0,0,NA,1,0,NA,NA,0,0,0
"30447","ad",11389,"almere",0.879361846186308,"landelijk",1,7,1,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"30456","ad",99037,"rotterdam",1.00993859986337,"landelijk",1,7,1,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"30458","ad",11108,"almere",0.879361846186308,"landelijk",1,5,0,0,0,1,0,0,NA,0,0,NA,NA,0,0,0
"30475","ad",66493,"bunschoten",1.06766232946955,"landelijk",1,6,0,0,0,1,0,0,NA,1,1,NA,NA,1,0,0
"30481","ad",88036,"amsterdam",1.09211804895821,"landelijk",1,5,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"30484","ad",99178,"rotterdam",1.04689921533174,"landelijk",1,4,1,0,0,0,0,0,NA,0,0,NA,NA,0,0,0
"30526","ad",99038,"rotterdam",1.00993859986337,"landelijk",1,2,1,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"30533","ad",22253,"enschede",0.935871537760698,"landelijk",1,7,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"30541","ad",77694,"langedijk",1.49707465828579,"landelijk",1,5,0,0,0,0,0,0,NA,1,1,NA,NA,0,0,0
"30544","ad",77366,"langedijk",0.743045781576525,"landelijk",1,4,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"30545","ad",66494,"bunschoten",1.88116939479177,"landelijk",1,6,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"30548","ad",66291,"bunschoten",0.65412002316781,"landelijk",1,6,0,0,0,1,0,0,NA,0,0,NA,NA,0,0,0
"30592","ad",77601,"langedijk",0.743045781576525,"landelijk",1,7,0,0,0,0,0,0,NA,0,1,NA,NA,1,0,0
"30593","ad",22207,"enschede",0.983363143468961,"landelijk",1,6,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"30596","ad",99039,"rotterdam",0.924563889565911,"landelijk",1,5,0,0,0,1,0,0,NA,0,0,NA,NA,0,0,0
"30602","ad",99414,"rotterdam",0.988012369639299,"landelijk",1,5,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"30615","ad",66495,"bunschoten",0.658385254746918,"landelijk",1,7,0,0,0,1,0,0,NA,0,0,NA,NA,0,0,0
"30621","ad",88038,"amsterdam",1.09211804895821,"landelijk",1,6,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"30623","ad",77414,"langedijk",0.743045781576525,"landelijk",1,6,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
"30624","ad",99180,"rotterdam",0.958400055846518,"landelijk",1,6,0,0,0,1,0,0,NA,0,0,NA,NA,0,0,0
"30643","ad",77508,"langedijk",0.604305089175663,"landelijk",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30647","ad",11345,"almere",0.940301805881723,"landelijk",1,3,0,0,0,0,0,0,NA,1,0,NA,NA,0,0,0
"30666","ad",99040,"rotterdam",0.924563889565911,"landelijk",1,5,0,0,0,0,0,0,NA,0,1,NA,NA,0,0,0
