"","ID","gemeente","weight1","geslacht","leeftijd","opleiding","gezin","vertrouwen","nieuwsinteresse","intr_nieuws_buurt","intr_nieuws_stad","intr_nieuws_landelijk","intr_nieuws_internationaal","intr_nieuws_gr18","stem_gr2014","stem_gr2014b","stem_2017","stemkans_gr18","stemintentie_gr18","stemintentie_gr18b","stem_gr18","stem_moment","stem_plan","sr_niet","referendum","stem_gr18b"
"70",55005,"smallingerland",1.38096474972391,2,41,"master",2,-0.333333333333333,-0.3,-0.5,-0.5,0.5,-0.5,-0.5,"VVD","VVD","VVD","Zeker wel","Weet ik niet meer","Weet ik niet meer",NA,NA,NA,NA,NA,NA
"71",55006,"smallingerland",1.21693399652586,1,28,"master",2,-0.166666666666667,0,-0.5,1,0.5,-0.5,-0.5,"VVD","VVD","VVD","Zeker wel","Weet ik niet meer","Weet ik niet meer","VVD","Circa een week voor de verkiezingen","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb tegen gestemd","VVD"
"72",22018,"enschede",0.935871537760698,1,56,"bachelor",4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,"GroenLinks","GroenLinks","GroenLinks","Zeker wel","GroenLinks","GroenLinks",NA,NA,NA,NA,NA,NA
"73",55007,"smallingerland",0.975041314245575,2,45,"mbo",1,0.5,0.7,1,0.5,0.5,0.5,1,"PvdA","PvdA","GroenLinks","Zeker wel","Weet ik niet meer","Weet ik niet meer","GroenLinks","Circa een week voor de verkiezingen","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb tegen gestemd","GroenLinks"
"74",11022,"almere",0.879361846186308,1,52,"mbo",3,0.166666666666667,0.4,1,0.5,0.5,0.5,-0.5,"VVD","VVD","CDA","Zeker wel","Weet ik niet meer","Weet ik niet meer","CDA","Circa een maand voor de verkiezingen","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb voor gestemd","CDA"
"75",11023,"almere",0.83621210660842,1,81,"mbo",2,-0.666666666666667,0.5,0.5,0.5,1,1,-0.5,"CDA","CDA","CDA","Waarschijnlijk wel","CDA","CDA","CDA","Circa een week voor de verkiezingen","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb tegen gestemd","CDA"
"76",44005,"roermond",0.766138087681291,1,56,"vwo",2,-0.5,1,1,1,1,1,1,"Liberale Volkspartij Roermond (LVR)","lokaal","VVD","Zeker wel","Liberale Volkspartij Roermond (LVR)","lokaal",NA,NA,NA,NA,NA,NA
"77",11024,"almere",0.879361846186308,1,55,"mbo",2,-0.166666666666667,0.7,0.5,0.5,1,1,0.5,"D66","D66","VVD","Zeker wel","Weet ik niet meer","Weet ik niet meer","VVD","Circa een maand voor de verkiezingen","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb voor gestemd","VVD"
"78",11025,"almere",1.04141127627369,2,68,"lbo",1,-0.333333333333333,-0.1,0.5,0.5,-0.5,-0.5,-0.5,"VVD","VVD","VVD","Zeker wel","Weet ik niet meer","Weet ik niet meer","SP","In het stemhokje","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb tegen gestemd","SP"
"79",11026,"almere",1.04141127627369,2,68,"mavo",2,-0.166666666666667,0.3,0.5,0.5,0.5,0.5,-0.5,"Almere Partij OPA","lokaal","50PLUS","Waarschijnlijk wel","Almere Partij OPA","lokaal","Almere Partij OPA","Circa een maand voor de verkiezingen","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb tegen gestemd","lokaal"
"80",11027,"almere",1.04141127627369,2,72,"bachelor",1,-0.166666666666667,0.8,0.5,1,1,1,0.5,"Weet ik niet meer","Weet ik niet meer","Ik heb blanco gestemd","Zeker wel","Weet ik niet meer","Weet ik niet meer","blanco / ongeldig gestemd","Dat stond al heel lang vast","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb tegen gestemd","blanco / ongeldig gestemd"
"81",44006,"roermond",0.890238561106325,2,64,"mbo",2,1,0.8,1,1,1,0.5,0.5,"Ik heb niet gestemd","Ik heb niet gestemd","GroenLinks","Waarschijnlijk wel","GroenLinks","GroenLinks",NA,NA,NA,NA,NA,NA
"82",33010,"nijmegen",0.916876647096828,1,73,"master",2,0.333333333333333,0.4,1,0.5,-0.5,0.5,0.5,"SP","SP","PvdA","Zeker wel","SP","SP","SP","Dat stond al heel lang vast","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb tegen gestemd","SP"
"83",99011,"rotterdam",1.04689921533174,2,58,"bachelor",2,-1,-0.4,-0.5,-0.5,0.5,-0.5,-1,"Ik heb niet gestemd","Ik heb niet gestemd","Ik heb niet gestemd","Zeker niet","ChristenUnie-SGP","ChristenUnie-SGP","Ik heb niet gestemd",NA,NA,"(lokaal) Stemmen heeft nauwelijks/ geen zin","Ik heb niet gestemd","Ik heb niet gestemd"
"84",99012,"rotterdam",1.04689921533174,2,49,"master",2,0.166666666666667,0.4,1,0.5,0.5,0.5,-0.5,"Weet ik niet meer","Weet ik niet meer","VVD","Zeker wel","VVD","VVD","VVD","Circa een maand voor de verkiezingen","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb voor gestemd","VVD"
