"","regio","medium2","medtype","partij","partij2","n"
"720","Roermond","Dagblad de Limburger","regionaal","lokaal","lvr",764
"721","Roermond","Dagblad de Limburger","regionaal","lokaal","pvld",37
"722","Roermond","Dagblad de Limburger","regionaal","lokaal","stadspartij",3
"723","Roermond","Dagblad de Limburger","regionaal","pvda","pvda",1193
"724","Roermond","Dagblad de Limburger","regionaal","sp","sp",597
"725","Roermond","Dagblad de Limburger","regionaal","vvd","vvd",1042
"726","Roermond","l1.nl","lokaal","cda","cda",23
"727","Roermond","l1.nl","lokaal","denk","denk",13
"728","Roermond","l1.nl","lokaal","gl","gl",8
"729","Roermond","l1.nl","lokaal","lokaal","lvr",21
"730","Roermond","l1.nl","lokaal","pvda","pvda",23
"731","Roermond","l1.nl","lokaal","sp","sp",10
"732","Roermond","l1.nl","lokaal","vvd","vvd",11
"733","Roermond","limburger.nl","lokaal","cda","cda",169
"734","Roermond","limburger.nl","lokaal","d66","d66",73
"735","Roermond","limburger.nl","lokaal","denk","denk",102
"736","Roermond","limburger.nl","lokaal","gl","gl",61
"737","Roermond","limburger.nl","lokaal","lokaal","lvr",67
"738","Roermond","limburger.nl","lokaal","lokaal","pvld",5
"739","Roermond","limburger.nl","lokaal","pvda","pvda",122
"740","Roermond","limburger.nl","lokaal","sp","sp",54
"741","Roermond","limburger.nl","lokaal","vvd","vvd",134
"742","Roermond","rtvroermond.nl","lokaal","cda","cda",2
"743","Roermond","rtvroermond.nl","lokaal","d66","d66",6
"744","Roermond","rtvroermond.nl","lokaal","denk","denk",1
"745","Roermond","rtvroermond.nl","lokaal","gl","gl",9
"746","Roermond","rtvroermond.nl","lokaal","lokaal","ds",2
"747","Roermond","rtvroermond.nl","lokaal","lokaal","lvr",7
"748","Roermond","rtvroermond.nl","lokaal","lokaal","pvld",2
"749","Roermond","rtvroermond.nl","lokaal","lokaal","stadspartij",3
"750","Roermond","rtvroermond.nl","lokaal","pvda","pvda",3
"751","Roermond","rtvroermond.nl","lokaal","sp","sp",2
"752","Roermond","rtvroermond.nl","lokaal","vvd","vvd",5
"753","Roermond","VIA Roermond","lokaal","cda","cda",1
"754","Roermond","VIA Roermond","lokaal","d66","d66",2
"755","Roermond","VIA Roermond","lokaal","denk","denk",23
"756","Roermond","VIA Roermond","lokaal","gl","gl",3
"757","Roermond","VIA Roermond","lokaal","lokaal","ds",2
"758","Roermond","VIA Roermond","lokaal","lokaal","lvr",2
"759","Roermond","VIA Roermond","lokaal","lokaal","pvld",1
"760","Roermond","VIA Roermond","lokaal","lokaal","stadspartij",3
"761","Roermond","VIA Roermond","lokaal","pvda","pvda",3
"762","Roermond","VIA Roermond","lokaal","sp","sp",2
"763","Roermond","VIA Roermond","lokaal","vvd","vvd",3
"764","Rotterdam","ad.nl/rotterdam","lokaal","cda","cda",143
"765","Rotterdam","ad.nl/rotterdam","lokaal","cu","cu",12
"766","Rotterdam","ad.nl/rotterdam","lokaal","d66","d66",132
"767","Rotterdam","ad.nl/rotterdam","lokaal","denk","denk",254
"768","Rotterdam","ad.nl/rotterdam","lokaal","gl","gl",80
"769","Rotterdam","ad.nl/rotterdam","lokaal","lokaal","babrotterdam",2
"770","Rotterdam","ad.nl/rotterdam","lokaal","lokaal","broederschapspartij",2
"771","Rotterdam","ad.nl/rotterdam","lokaal","lokaal","jezusleeft",11
"772","Rotterdam","ad.nl/rotterdam","lokaal","lokaal","jongrotterdam",2
"773","Rotterdam","ad.nl/rotterdam","lokaal","lokaal","lr",628
"774","Rotterdam","ad.nl/rotterdam","lokaal","lokaal","nida",157
"775","Rotterdam","ad.nl/rotterdam","lokaal","lokaal","nrp",3
"776","Rotterdam","ad.nl/rotterdam","lokaal","lokaal","stadsinitiatief",28
"777","Rotterdam","ad.nl/rotterdam","lokaal","plus50","plus50",9
"778","Rotterdam","ad.nl/rotterdam","lokaal","pvda","pvda",145
"779","Rotterdam","ad.nl/rotterdam","lokaal","pvdd","pvdd",13
"780","Rotterdam","ad.nl/rotterdam","lokaal","pvv","pvv",174
"781","Rotterdam","ad.nl/rotterdam","lokaal","sp","sp",91
"782","Rotterdam","ad.nl/rotterdam","lokaal","vvd","vvd",98
"783","Rotterdam","AD/Rotterdams Dagblad","regionaal","cda","cda",456
"784","Rotterdam","AD/Rotterdams Dagblad","regionaal","cu","cu",95
"785","Rotterdam","AD/Rotterdams Dagblad","regionaal","d66","d66",550
"786","Rotterdam","AD/Rotterdams Dagblad","regionaal","denk","denk",1128
"787","Rotterdam","AD/Rotterdams Dagblad","regionaal","gl","gl",352
"788","Rotterdam","AD/Rotterdams Dagblad","regionaal","lokaal","babrotterdam",14
"789","Rotterdam","AD/Rotterdams Dagblad","regionaal","lokaal","broederschapspartij",2
"790","Rotterdam","AD/Rotterdams Dagblad","regionaal","lokaal","jezusleeft",20
"791","Rotterdam","AD/Rotterdams Dagblad","regionaal","lokaal","jongrotterdam",8
"792","Rotterdam","AD/Rotterdams Dagblad","regionaal","lokaal","lr",1635
"793","Rotterdam","AD/Rotterdams Dagblad","regionaal","lokaal","nida",363
"794","Rotterdam","AD/Rotterdams Dagblad","regionaal","lokaal","nrp",5
"795","Rotterdam","AD/Rotterdams Dagblad","regionaal","lokaal","rop",5
"796","Rotterdam","AD/Rotterdams Dagblad","regionaal","lokaal","stadsinitiatief",38
"797","Rotterdam","AD/Rotterdams Dagblad","regionaal","plus50","plus50",28
"798","Rotterdam","AD/Rotterdams Dagblad","regionaal","pvda","pvda",527
"799","Rotterdam","AD/Rotterdams Dagblad","regionaal","pvdd","pvdd",54
"800","Rotterdam","AD/Rotterdams Dagblad","regionaal","pvv","pvv",414
"801","Rotterdam","AD/Rotterdams Dagblad","regionaal","sp","sp",269
"802","Rotterdam","AD/Rotterdams Dagblad","regionaal","vvd","vvd",538
"803","Rotterdam","dehavenloods.nl","lokaal","cda","cda",17
"804","Rotterdam","dehavenloods.nl","lokaal","cu","cu",2
"805","Rotterdam","dehavenloods.nl","lokaal","d66","d66",9
"806","Rotterdam","dehavenloods.nl","lokaal","denk","denk",36
"807","Rotterdam","dehavenloods.nl","lokaal","gl","gl",23
"808","Rotterdam","dehavenloods.nl","lokaal","lokaal","babrotterdam",1
"809","Rotterdam","dehavenloods.nl","lokaal","lokaal","jezusleeft",2
"810","Rotterdam","dehavenloods.nl","lokaal","lokaal","jongrotterdam",1
"811","Rotterdam","dehavenloods.nl","lokaal","lokaal","lr",35
"812","Rotterdam","dehavenloods.nl","lokaal","lokaal","nida",19
"813","Rotterdam","dehavenloods.nl","lokaal","lokaal","nrp",1
"814","Rotterdam","dehavenloods.nl","lokaal","lokaal","stadsinitiatief",21
"815","Rotterdam","dehavenloods.nl","lokaal","lokaal","ubuntu",22
"816","Rotterdam","dehavenloods.nl","lokaal","plus50","plus50",3
"817","Rotterdam","dehavenloods.nl","lokaal","pvda","pvda",24
"818","Rotterdam","dehavenloods.nl","lokaal","pvdd","pvdd",7
"819","Rotterdam","dehavenloods.nl","lokaal","pvv","pvv",1
"820","Rotterdam","dehavenloods.nl","lokaal","sp","sp",11
"821","Rotterdam","dehavenloods.nl","lokaal","vvd","vvd",22
"822","Rotterdam","openrotterdam.nl","lokaal","cda","cda",23
"823","Rotterdam","openrotterdam.nl","lokaal","cu","cu",28
"824","Rotterdam","openrotterdam.nl","lokaal","d66","d66",30
"825","Rotterdam","openrotterdam.nl","lokaal","denk","denk",73
"826","Rotterdam","openrotterdam.nl","lokaal","gl","gl",29
"827","Rotterdam","openrotterdam.nl","lokaal","lokaal","babrotterdam",11
"828","Rotterdam","openrotterdam.nl","lokaal","lokaal","broederschapspartij",6
"829","Rotterdam","openrotterdam.nl","lokaal","lokaal","jezusleeft",12
"830","Rotterdam","openrotterdam.nl","lokaal","lokaal","jongrotterdam",2
"831","Rotterdam","openrotterdam.nl","lokaal","lokaal","lr",82
"832","Rotterdam","openrotterdam.nl","lokaal","lokaal","nida",36
"833","Rotterdam","openrotterdam.nl","lokaal","lokaal","nrp",6
"834","Rotterdam","openrotterdam.nl","lokaal","lokaal","stadsinitiatief",28
"835","Rotterdam","openrotterdam.nl","lokaal","plus50","plus50",11
"836","Rotterdam","openrotterdam.nl","lokaal","pvda","pvda",31
"837","Rotterdam","openrotterdam.nl","lokaal","pvdd","pvdd",30
"838","Rotterdam","openrotterdam.nl","lokaal","pvv","pvv",4
"839","Rotterdam","openrotterdam.nl","lokaal","sp","sp",24
"840","Rotterdam","openrotterdam.nl","lokaal","vvd","vvd",16
"841","Rotterdam","rijnmond.nl","lokaal","cda","cda",116
"842","Rotterdam","rijnmond.nl","lokaal","cu","cu",56
"843","Rotterdam","rijnmond.nl","lokaal","d66","d66",169
"844","Rotterdam","rijnmond.nl","lokaal","denk","denk",248
"845","Rotterdam","rijnmond.nl","lokaal","gl","gl",106
"846","Rotterdam","rijnmond.nl","lokaal","lokaal","babrotterdam",1
"847","Rotterdam","rijnmond.nl","lokaal","lokaal","broederschapspartij",4
"848","Rotterdam","rijnmond.nl","lokaal","lokaal","jezusleeft",5
"849","Rotterdam","rijnmond.nl","lokaal","lokaal","jongrotterdam",3
"850","Rotterdam","rijnmond.nl","lokaal","lokaal","lr",553
"851","Rotterdam","rijnmond.nl","lokaal","lokaal","nida",140
"852","Rotterdam","rijnmond.nl","lokaal","lokaal","nrp",1
"853","Rotterdam","rijnmond.nl","lokaal","lokaal","stadsinitiatief",43
"854","Rotterdam","rijnmond.nl","lokaal","plus50","plus50",26
"855","Rotterdam","rijnmond.nl","lokaal","pvda","pvda",140
"856","Rotterdam","rijnmond.nl","lokaal","pvdd","pvdd",34
"857","Rotterdam","rijnmond.nl","lokaal","pvv","pvv",80
"858","Rotterdam","rijnmond.nl","lokaal","sp","sp",80
"859","Rotterdam","rijnmond.nl","lokaal","vvd","vvd",104
"860","Rotterdam","versbeton.nl","lokaal","cda","cda",80
"861","Rotterdam","versbeton.nl","lokaal","cu","cu",24
"862","Rotterdam","versbeton.nl","lokaal","d66","d66",156
"863","Rotterdam","versbeton.nl","lokaal","denk","denk",325
"864","Rotterdam","versbeton.nl","lokaal","gl","gl",106
"865","Rotterdam","versbeton.nl","lokaal","lokaal","jezusleeft",2
"866","Rotterdam","versbeton.nl","lokaal","lokaal","jongrotterdam",3
"867","Rotterdam","versbeton.nl","lokaal","lokaal","lr",634
"868","Rotterdam","versbeton.nl","lokaal","lokaal","nida",81
"869","Rotterdam","versbeton.nl","lokaal","lokaal","stadsinitiatief",5
"870","Rotterdam","versbeton.nl","lokaal","plus50","plus50",18
"871","Rotterdam","versbeton.nl","lokaal","pvda","pvda",79
"872","Rotterdam","versbeton.nl","lokaal","pvdd","pvdd",28
"873","Rotterdam","versbeton.nl","lokaal","pvv","pvv",54
"874","Rotterdam","versbeton.nl","lokaal","sp","sp",77
"875","Rotterdam","versbeton.nl","lokaal","vvd","vvd",170
"876","Smallingerland","drachtstercourant.nl","lokaal","cda","cda",21
"877","Smallingerland","drachtstercourant.nl","lokaal","cu","cu",30
"878","Smallingerland","drachtstercourant.nl","lokaal","d66","d66",9
"879","Smallingerland","drachtstercourant.nl","lokaal","gl","gl",13
"880","Smallingerland","drachtstercourant.nl","lokaal","lokaal","elp",1
"881","Smallingerland","drachtstercourant.nl","lokaal","lokaal","fnp",5
"882","Smallingerland","drachtstercourant.nl","lokaal","pvda","pvda",24
"883","Smallingerland","drachtstercourant.nl","lokaal","sgp","sgp",1
"884","Smallingerland","drachtstercourant.nl","lokaal","sp","sp",26
"885","Smallingerland","drachtstercourant.nl","lokaal","vvd","vvd",35
"886","Smallingerland","lc.nl","lokaal","cda","cda",215
"887","Smallingerland","lc.nl","lokaal","cu","cu",216
"888","Smallingerland","lc.nl","lokaal","d66","d66",306
"889","Smallingerland","lc.nl","lokaal","gl","gl",161
"890","Smallingerland","lc.nl","lokaal","lokaal","elp",13
"891","Smallingerland","lc.nl","lokaal","lokaal","fnp",36
"892","Smallingerland","lc.nl","lokaal","lokaal","sbelang",2
"893","Smallingerland","lc.nl","lokaal","pvda","pvda",283
"894","Smallingerland","lc.nl","lokaal","sgp","sgp",175
"895","Smallingerland","lc.nl","lokaal","sp","sp",113
"896","Smallingerland","lc.nl","lokaal","vvd","vvd",302
"897","Smallingerland","Leeuwarder Courant","regionaal","cda","cda",510
"898","Smallingerland","Leeuwarder Courant","regionaal","cu","cu",307
"899","Smallingerland","Leeuwarder Courant","regionaal","d66","d66",359
"900","Smallingerland","Leeuwarder Courant","regionaal","gl","gl",222
"901","Smallingerland","Leeuwarder Courant","regionaal","lokaal","elp",17
"902","Smallingerland","Leeuwarder Courant","regionaal","lokaal","fnp",204
"903","Smallingerland","Leeuwarder Courant","regionaal","lokaal","sbelang",82
"904","Smallingerland","Leeuwarder Courant","regionaal","pvda","pvda",531
"905","Smallingerland","Leeuwarder Courant","regionaal","sgp","sgp",128
"906","Smallingerland","Leeuwarder Courant","regionaal","sp","sp",174
"907","Smallingerland","Leeuwarder Courant","regionaal","vvd","vvd",556
"908","Smallingerland","omroepfriesland.nl","regionaal","cda","cda",24
"909","Smallingerland","omroepfriesland.nl","regionaal","cu","cu",22
"910","Smallingerland","omroepfriesland.nl","regionaal","d66","d66",5
"911","Smallingerland","omroepfriesland.nl","regionaal","gl","gl",12
"912","Smallingerland","omroepfriesland.nl","regionaal","lokaal","fnp",41
"913","Smallingerland","omroepfriesland.nl","regionaal","pvda","pvda",26
"914","Smallingerland","omroepfriesland.nl","regionaal","sgp","sgp",5
"915","Smallingerland","omroepfriesland.nl","regionaal","sp","sp",27
"916","Smallingerland","omroepfriesland.nl","regionaal","vvd","vvd",33
"917","Smallingerland","waldnet.nl","lokaal","cda","cda",25
"918","Smallingerland","waldnet.nl","lokaal","cu","cu",39
"919","Smallingerland","waldnet.nl","lokaal","d66","d66",28
"920","Smallingerland","waldnet.nl","lokaal","gl","gl",10
"921","Smallingerland","waldnet.nl","lokaal","lokaal","elp",12
"922","Smallingerland","waldnet.nl","lokaal","lokaal","fnp",13
"923","Smallingerland","waldnet.nl","lokaal","lokaal","sbelang",2
"924","Smallingerland","waldnet.nl","lokaal","pvda","pvda",51
"925","Smallingerland","waldnet.nl","lokaal","sgp","sgp",7
"926","Smallingerland","waldnet.nl","lokaal","sp","sp",14
"927","Smallingerland","waldnet.nl","lokaal","vvd","vvd",43
